gene_id	log2_fold_change	p_value	fdr
YPL198W	-0.670740396822389	0.000825762031636199	0.0521468722978259
YLL024C	-0.503441158311212	0.000871068270167112	0.0532909957389799
YOR336W	-1.26871841921411	0.00088607356335596	0.0532909957389799
YBR164C	1.38638760622859	0.000909166381457081	0.0533559983392333
YBR067C	0.932066155308784	0.000929399812718236	0.0533559983392333
YGR124W	-0.485268282960569	0.000987093530519274	0.0554088501798152
YMR199W	-1.35842226601166	0.00103992630007253	0.0566221745668126
YER124C	0.847457679085613	0.00105354006517822	0.0566221745668126
YMR251W-A	1.09022128570231	0.00115785752034728	0.0609322520082756
YJR105W	-0.430837613689192	0.0011858845270088	0.0611335574535559
YGL037C	0.768660040009521	0.00123440454447478	0.0623621175868657
YHR094C	1.58915407297689	0.00128258901175577	0.0635258792881386
YHR208W	-0.604108051924495	0.00140023936387184	0.0680193198680821
YNL290W	-0.939168588387284	0.00151281669426361	0.0721014145228279
YJR060W	-1.42572522812503	0.00166686660766459	0.0772301127535993
YOR112W	1.80002459557126	0.00168157410983688	0.0772301127535993
YHR183W	-0.540371321589668	0.0017795420966499	0.0794404010003885
YBR218C	-0.677002986669468	0.00179259812233656	0.0794404010003885
YPL220W	-0.583332661222534	0.00190625858464851	0.0830208480141749
YBR283C	-0.779306740140351	0.00231935577994482	0.09929987627357
YKL096W	1.16821746967684	0.0024177269509624	0.101786304635517
YKR059W	-0.700216803128478	0.00258679152425617	0.107118612955264
YLR430W	1.02655367812778	0.00297651548301028	0.121269001775548
YJR117W	-0.838230863846661	0.00308467783609033	0.123680892285146
YGL195W	-0.463474086117037	0.00355216783199866	0.136783558271225
YGL232W	1.14571817963953	0.00356495583435856	0.136783558271225
YNL241C	-0.743884370232533	0.00357933762628733	0.136783558271225
YFL034C-A	-0.938934277076017	0.0036362172376677	0.136783558271225
YPL143W	-0.401965107937939	0.00368221772068222	0.136783558271225
YDR291W	0.974118644784519	0.00396108328881074	0.143381215807294
YDR460W	1.85239034064024	0.00401365408907512	0.143381215807294
YLR406C	0.470458274921214	0.00403011335008626	0.143381215807294
YOR098C	-1.17039800041133	0.00414699622748143	0.145490450980807
YHR019C	-0.422943447241363	0.00431884640370604	0.147690295100887
YPL183C	-0.7188693967581	0.00432663572346226	0.147690295100887
YBL001C	0.783319883420886	0.00471191399093195	0.156648370006138
YML100W	1.68052264954457	0.00471309426780145	0.156648370006138
YOR123C	1.15319758268753	0.00488868557240761	0.160374282544177
YJL052W	0.669253543288042	0.00498218790791817	0.161346239171812
YLR389C	0.980306261654574	0.00509560663887091	0.162930409744151
YGL245W	-0.404979564268125	0.00528402376244875	0.166843050299319
YNL141W	0.882008570597493	0.00548732932866655	0.171123381286564
YPL177C	1.80475615294029	0.00565014116067506	0.17385564062351
YFL004W	-0.634844004072777	0.00576381361756583	0.17385564062351
YJL101C	-1.04332296996168	0.00578543817766041	0.17385564062351
YPR159W	0.771582299587105	0.00585024918962721	0.17385564062351
YPR145W	-0.367619151340708	0.00625905647715908	0.183194917855008
YPR169W	-0.850364796566706	0.00641671219933354	0.183194917855008
YGL093W	2.16652222868663	0.00643069660864183	0.183194917855008
YMR110C	-1.04829794114117	0.00645461111999038	0.183194917855008
YDR456W	0.97712122522519	0.00668207472098585	0.18754356383567
YJR143C	-0.695650243586531	0.00686923686400681	0.18880426414953
YGR279C	-0.374850830690348	0.00687648151296785	0.18880426414953
YAL035W	-0.44139773055622	0.00697509108059121	0.189452473866381
YDR037W	-0.382152863360002	0.00711679640940627	0.190499908619797
YJL172W	-0.798966767513743	0.00717517359513297	0.190499908619797
YBR202W	-1.11113119548585	0.00734032673821905	0.190499908619797
YPL245W	-0.723392740917857	0.00744875511783944	0.190499908619797
YEL046C	-0.725586088451001	0.00754304180940858	0.190499908619797
YEL009C	-0.405416131193557	0.00757673607291288	0.190499908619797
YOR326W	0.486971426603041	0.00762808501717602	0.190499908619797
YOR108W	-0.701080579626812	0.00765138051003153	0.190499908619797
YAL003W	-0.350395937031601	0.00776204828385705	0.190499908619797
YLR367W	-0.455923221808519	0.00776781100072806	0.190499908619797
YGR187C	1.40292710665843	0.00785022525657727	0.190669894212636
YEL033W	-1.04647349404732	0.00811362947406004	0.195190743347387
YKL216W	-0.442480912723539	0.00826738902554209	0.19701344036339
YDR284C	-0.746517485096659	0.00856591025752084	0.202219526266333
YPL146C	0.788169279667994	0.00877304181157894	0.205191700148596
YLR075W	-0.311691557502581	0.00914308784495142	0.210238551445254
YFL039C	-0.329421505190742	0.00915528133767932	0.210238551445254
YGL187C	1.28520117211815	0.0092764792072928	0.211102580879474
YFR015C	2.11205264311382	0.00936457254907993	0.211110116922628
YLR058C	0.391914805411017	0.00944396009986421	0.211110116922628
YPR035W	-0.407898533120105	0.0095672069719025	0.211989165008998
YDR304C	0.687809761795953	0.00981788158783411	0.215651903398861
YOL030W	-0.724166479660375	0.0100159266198314	0.216644733449017
YMR080C	-0.681697629212114	0.0100346135445507	0.216644733449017
YMR272C	0.582985732865838	0.0101729776337591	0.217770690702334
YLR447C	-0.422455897408686	0.010742746317402	0.224394067447459
YGR032W	1.36947968504873	0.0108079539338284	0.224394067447459
YKL010C	0.924797108577136	0.0108156010011757	0.224394067447459
YIL030C	-0.731544361297827	0.0108809304023363	0.224394067447459
YGR047C	1.02816124015109	0.0109290238994434	0.224394067447459
YOR299W	-1.03946399699043	0.0111343974833388	0.224394067447459
YMR189W	0.795367756736371	0.0111426851981145	0.224394067447459
YDR064W	-0.32938150288682	0.0111930532455977	0.224394067447459
YOL060C	-1.08950378640669	0.0114817024139635	0.227657587780361
YER081W	0.868349370309781	0.0115360931258457	0.227657587780361
YLR019W	-1.10095671801783	0.0118531297293281	0.230350635399218
YBR121C	0.400958578470056	0.011854941647624	0.230350635399218
YJR133W	1.02289885603092	0.0120124089198968	0.231628587264576
YDL014W	-0.445042944065454	0.0124989421960725	0.239184302933933
YOR310C	-0.361002299783159	0.0126574378931032	0.239817300163006
YBR031W	-0.389866109786063	0.0127218995335878	0.239817300163006
YOR246C	-0.700505636865851	0.0128806684732939	0.241011618989188
YPR185W	-0.856333179537794	0.0130664250132562	0.242689629290332
YGR216C	2.31416075804889	0.0135962946435946	0.249346647553771
YML010W	0.724491338600988	0.0136222634055504	0.249346647553771
YCL030C	0.435985465358306	0.0138187250277681	0.251123017411095
YDL225W	0.99157012184928	0.0140083274473378	0.252750250942681
YER157W	-0.780976921593257	0.0141253370408783	0.253053910391905
YHR146W	1.12121381404693	0.01423732286582	0.253263926472263
YDR226W	0.590633229590419	0.0147148021422311	0.259927204274656
snR19	-0.656502456752985	0.01485487122131	0.26057919934048
YLR333C	0.585401826914495	0.0154262438619788	0.26873580686454
YJL124C	1.64852022881608	0.0156688636378404	0.27034664446224
YJR064W	-0.317625610410879	0.0157327619698928	0.27034664446224
YHR141C	-0.358152922843197	0.0158726129102303	0.270906893319201
YGL157W	0.987740833904675	0.0161210096298139	0.27178040518368
YCR072C	-0.939713771378801	0.0161389789301473	0.27178040518368
YOR357C	1.40023931373578	0.0166432605209726	0.275003510796907
YIL123W	-0.718560460075758	0.0167455441923929	0.275003510796907
YOL109W	0.470445221569043	0.0168106019775914	0.275003510796907
YJR131W	1.12389175086006	0.0168547958675214	0.275003510796907
YNL209W	-0.324527240998611	0.0169441399786139	0.275003510796907
YJL200C	-0.686907012045552	0.0169835897404265	0.275003510796907
YDL083C	-0.378993577903801	0.0176740091672155	0.283213984655004
YHR039C	-1.08147364243402	0.0177205607413551	0.283213984655004
YLR293C	0.654364181431018	0.0178270085352912	0.283213984655004
YDR370C	0.653997582322064	0.0179490178508666	0.283370119320557
YNR011C	1.48165693669178	0.0182462069948894	0.284245488996515
YJR145C	-0.292712517433452	0.0185017147973553	0.284245488996515
YIL109C	-0.557558207405865	0.0186407104139453	0.284245488996515
YKL212W	-0.476574968517078	0.0186616303243247	0.284245488996515
YKR060W	1.08332448408967	0.0186661537796059	0.284245488996515
YML104C	1.04769713341769	0.018679632293516	0.284245488996515
YDR412W	0.851745828124293	0.018835374907359	0.284403429002014
YIR033W	0.737702516147815	0.0189151924276874	0.284403429002014
YFR030W	1.08306059446885	0.0190373060729277	0.284545770060446
YLR256W	0.632582772168227	0.0194502840268577	0.288920196658777
YLR027C	-0.718235064765101	0.0195587306526726	0.288920196658777
YDR452W	-0.544321447969539	0.0198851327409358	0.290969027502667
YMR116C	-0.252327123279301	0.0199278075051312	0.290969027502667
YLR436C	1.0809702699913	0.0203014917331982	0.291876268409542
YLL018C	-0.499492911218814	0.0203167190286421	0.291876268409542
YAL019W	1.08417437971778	0.0203365887727947	0.291876268409542
YKL096W-A	0.377094896683804	0.0207694745471868	0.296405043537818
YMR205C	-0.338098766860597	0.0209452052170731	0.297233642574869
YER008C	-0.814199516820615	0.0210722104927503	0.297269995223276
YJL109C	-0.384185698359082	0.0212749893281915	0.297269995223276
YFR053C	0.892881628517893	0.0213008191351595	0.297269995223276
YMR212C	-0.611477595025489	0.0218787301060535	0.298403866938624
YGL234W	-0.349667654040158	0.0219431132827523	0.298403866938624
YKL056C	-0.268006687818425	0.0221188597499604	0.298403866938624
YKL035W	0.465490209870458	0.0221646808315063	0.298403866938624
YEL065W	-0.928930935548375	0.0222853479573865	0.298403866938624
YOR317W	0.77428814068821	0.0222951679713533	0.298403866938624
YPR160W	0.99391433770331	0.0223083079150813	0.298403866938624
YKR071C	-1.15308427644289	0.0224339876580423	0.298403866938624
YMR207C	1.12013618571427	0.0224452631505695	0.298403866938624
YLR175W	-0.331903641233764	0.0227480160591077	0.300051970841697
YOR285W	1.73668903164448	0.0229105148316648	0.300051970841697
YGR026W	0.95217825350347	0.0231254033394121	0.300051970841697
YGL256W	-0.963525413029737	0.0233749644908407	0.300051970841697
YDR117C	-0.89380956581213	0.0233750919280654	0.300051970841697
YMR217W	-0.392194700371143	0.0233815736205545	0.300051970841697
YMR196W	0.954160676442249	0.0234296055472684	0.300051970841697
YLR427W	0.952701447697744	0.0235195131538622	0.300051970841697
YML121W	1.00722158865545	0.0237472848396746	0.301435384447327
YJR017C	0.951804416480156	0.0238989468902276	0.301843699223574
YJR123W	-0.283989800376572	0.0241897220796043	0.303353899432032
YBL105C	-0.861676990653764	0.0243346933002464	0.303353899432032
YOL098C	0.490216260645083	0.0243787971435877	0.303353899432032
YDL212W	-0.629037938729512	0.0247154421436257	0.305119012497657
snR63	-0.907844601996357	0.0247622318139428	0.305119012497657
YCR093W	0.679457363333282	0.0251099412406597	0.307790718301357
YNR054C	0.952413120643423	0.0252227548251705	0.307790718301357
YLR340W	-0.253462838246113	0.0256273068958225	0.311223928936768
YOR287C	1.91819106112691	0.0258651118558547	0.311427854594742
YFL022C	-0.56150491870874	0.0258906767477814	0.311427854594742
YLR207W	1.04092433723732	0.0262064997187218	0.313449021732212
YGL076C	-0.303800660653635	0.0264774582766372	0.313449021732212
YBR084C-A	0.347125027817159	0.0265930664629572	0.313449021732212
YDR019C	0.843688582471436	0.0267064753689006	0.313449021732212
YDR033W	-0.367236863722681	0.0267568118710602	0.313449021732212
YHR174W	-0.223606272839892	0.0268032417633245	0.313449021732212
YGL101W	1.08144310830923	0.0269646577621161	0.313883527682513
YLL041C	1.22690419450731	0.0273225159497571	0.31453248877929
YNL160W	0.75221452120384	0.0274483835485891	0.31453248877929
YIL026C	-0.794974424344362	0.027542572108284	0.31453248877929
YHR007C	-0.312060772141109	0.0276903346256399	0.31453248877929
YDR502C	-0.535356283621168	0.0276957964389747	0.31453248877929
YMR278W	1.08075867269418	0.0277675158344345	0.31453248877929
YJL191W	-0.817179715607546	0.0283963764530056	0.320219852322733
YOR127W	-0.793112685226302	0.0285797344726804	0.320855152346626
YBR222C	0.88088692273304	0.029621670842738	0.331081152870602
YEL042W	0.675899604815134	0.0302612524676244	0.336739752128719
YPL012W	0.551635151466762	0.0307207037691247	0.337869222486593
YML049C	0.943199844479258	0.0307640226333794	0.337869222486593
YHL007C	0.943199844479258	0.0307640226333794	0.337869222486593
YMR203W	-0.568031695074836	0.0309564668854939	0.338510975553063
YNL031C	0.383651432238023	0.0311151985488048	0.338780135923625
YML024W	-0.274633499200551	0.0320640422111154	0.347577504813423
YGL255W	0.966943084837761	0.0321983911822411	0.347577504813423
YIL033C	0.751036183678828	0.0325761128273592	0.350158557454933
YDR529C	1.13201304248516	0.0329545519477368	0.352725416186369
YMR237W	0.896398982303157	0.0336800784373277	0.358075435347916
YPR073C	1.38012342284194	0.0337682779755563	0.358075435347916
YGR085C	0.421550253799925	0.0340089884101408	0.358075435347916
YFR005C	1.85543211314557	0.0340214190354315	0.358075435347916
YLR180W	-0.395971805733944	0.0343419161928576	0.359948880925968
YDR006C	1.37922781112119	0.0345316853292281	0.360442302238141
YPR144C	-0.518580854756013	0.0346811054347042	0.360512231802727
YJL212C	-0.929058958773478	0.0362681096038222	0.375166560206412
YNL045W	0.570185983353747	0.0363923909432479	0.375166560206412
YAL038W	-0.212469425152093	0.0365727446795232	0.375166560206412
YKL058W	-1.06717418894906	0.0367631407505862	0.375166560206412
YMR208W	0.999107088094453	0.036833454842118	0.375166560206412
YLR033W	0.857890472361765	0.0371432798824746	0.375444652992186
YDL166C	0.881150781633308	0.0372186963632642	0.375444652992186
YOR361C	-0.294153242681045	0.0375503827333446	0.375444652992186
YGR252W	1.38191244035348	0.0376294070287969	0.375444652992186
YDR194C	-0.627936432376955	0.0376759556192436	0.375444652992186
YNL030W	0.353624833742318	0.0377616525572486	0.375444652992186
YAL053W	-0.840649846645566	0.0379011823091874	0.375444652992186
YOR087W	0.878360371595761	0.0387936647679636	0.382784364077641
YER062C	0.661488150694551	0.0392138316591899	0.383274636195471
YER103W	0.58907396392912	0.0392142890350634	0.383274636195471
YPL169C	-0.86057283209669	0.0394941803358843	0.383274636195471
YBR054W	0.8771873631043	0.0395867919351795	0.383274636195471
YDL047W	0.901740464897703	0.0396020111033325	0.383274636195471
YPL137C	-0.95577438106767	0.0399202549930547	0.384880015696398
YNL119W	0.930554492770762	0.040524916355995	0.389224101578872
YKR063C	1.24685911255034	0.0409618064843533	0.391930012043472
YFL026W	0.331389503933891	0.0411645979813347	0.392384054720195
YDL134C	0.726220354208241	0.0414173744443726	0.392571983161494
YGL077C	-0.636020120838924	0.0414951383626758	0.392571983161494
YPL093W	-0.440849867123783	0.041923728649662	0.395146785705396
YDR212W	-0.435468884150395	0.0421842320475157	0.395695098303506
YGL022W	-0.334815682868794	0.0425742919710555	0.395695098303506
YNL177C	0.958389249557991	0.0428839243030793	0.395695098303506
YAL029C	0.572601990052943	0.0429511458422899	0.395695098303506
YOL038W	-0.642225864388717	0.0429815426118985	0.395695098303506
YHR119W	-0.979066193170894	0.0431447672178345	0.395695098303506
YDR011W	-0.519648609882347	0.0431947821174358	0.395695098303506
YPL190C	0.77564881401297	0.0433748626416922	0.395695098303506
YGL151W	-0.711194654692519	0.0434516599511847	0.395695098303506
YBR035C	0.587575858376251	0.0436023601832591	0.395695098303506
YOR052C	0.959977412948092	0.0437050405489621	0.395695098303506
YJR005W	0.627006415965549	0.0441087536087547	0.396770110805335
YNL271C	-0.646994068869127	0.0442819910151196	0.396770110805335
YER006W	0.484124453860016	0.0442950004937073	0.396770110805335
YGL147C	-0.236529373788765	0.0450071536066933	0.401724629012393
YFR004W	-0.592121184167582	0.045208691921511	0.401818514551788
YNL287W	-0.366059276454272	0.0453358181501423	0.401818514551788
YMR260C	-0.412941153828422	0.0457340299526962	0.403930628183603
YPR149W	0.483693986148799	0.046628291933459	0.406130153088385
YER036C	-0.324175070442196	0.0468110117654064	0.406130153088385
YIR002C	-0.858955069593461	0.0468609090309194	0.406130153088385
YJL130C	-0.280581827605861	0.0468902155603895	0.406130153088385
YIL088C	-0.604500624462815	0.0469977420804266	0.406130153088385
YGR078C	-0.826582141922548	0.0470291185510555	0.406130153088385
snR11	-0.795197867716708	0.0472020104670751	0.406130153088385
YGL035C	0.807155787575076	0.0472693052288143	0.406130153088385
YNL297C	-0.649113068569217	0.0474911717339303	0.406653219660705
YDR305C	1.13365263606619	0.0483136290257762	0.410641633942786
YIL070C	0.863320813010466	0.0485654384595142	0.410641633942786
YGL112C	0.726294227627558	0.0485888252998899	0.410641633942786
YLR220W	0.829581363387839	0.048694918944043	0.410641633942786
YAR042W	0.863452385760203	0.0487697902544876	0.410641633942786
YMR126C	1.12964442896163	0.0490139837672101	0.41132665447167
YDR135C	-0.420282196557339	0.0494106710379	0.411954460361372
YLR250W	0.477208553601121	0.0494759332078858	0.411954460361372
YER048C	0.533818613959685	0.0496967771701988	0.411954460361372
YLR029C	-0.237426441728834	0.0497894974101601	0.411954460361372
YFR044C	0.568609662782646	0.0500685438971753	0.411954460361372
YIL039W	0.714764278548137	0.0502435815794259	0.411954460361372
YBR286W	-0.312533821041838	0.0502649215849634	0.411954460361372
YIL067C	-0.806403739054489	0.0503934791178401	0.411954460361372
YDL115C	0.643909460995419	0.0508225424829979	0.414121749393718
YBR162C	-0.361514145100291	0.0510892113552837	0.414956102519121
YGL056C	1.13891259531033	0.0514576716417349	0.416609226176354
YML073C	-0.278575968731888	0.0522423018905362	0.420533783552725
YBR106W	0.409234041967615	0.0522753792698161	0.420533783552725
YOR222W	0.862645783546303	0.0526131221053508	0.421907131549575
YLR399C	-0.469795876771894	0.0529677627523326	0.423406863013899
YAL012W	-0.325095835398033	0.0531893676442575	0.423837043121118
YAL005C	0.320628743453862	0.0535558396338533	0.425415254450042
YJL159W	-0.318290902006213	0.0541086098793493	0.426579442075519
YER003C	-0.494500808756548	0.0541939677557431	0.426579442075519
YBR080C	-0.618465882320654	0.0542090264870315	0.426579442075519
YKR066C	-0.691401467673867	0.0547751580119975	0.429695804777347
YGL191W	0.773477633846032	0.055672367021788	0.4353820405481
YFL028C	-0.625679095895804	0.0560086771724457	0.436660242399993
YGL082W	-0.717819072963452	0.0562406227513284	0.437119424830325
YDR083W	1.03670559927858	0.0565840976513625	0.438439971372214
YER055C	-0.303052654417306	0.0571796518133164	0.439574865288813
YGL159W	-1.05920679866771	0.0571838969476579	0.439574865288813
YDL130W	0.270008468539411	0.0572526249722959	0.439574865288813
YKL080W	-0.399214255018538	0.0578424027136423	0.442757300771699
YJL177W	0.302349521050354	0.0586294001677624	0.447425573485703
YBL041W	0.788319960455188	0.059265563149802	0.449830965942563
YDL192W	-0.257859596826237	0.0594134216667305	0.449830965942563
YPR036W	-0.285346761665169	0.0594788371436326	0.449830965942563
YPL262W	-0.571816161994158	0.0603237554403289	0.454859123111256
YPL175W	-0.59933645979656	0.0609490398212869	0.458206174370746
YDR363W-A	0.608176362817886	0.0613286680693099	0.459692034252453
YLR005W	0.823237417455539	0.061736366917738	0.46137888412487
YNL112W	-0.257081926743866	0.0621110724269256	0.462256074982692
YJR140C	0.691617504194033	0.062234556165214	0.462256074982692
YJR015W	-0.649423602996735	0.0625633225403782	0.462256074982692
YNL189W	0.370596669605211	0.0628609469380639	0.462256074982692
YCR032W	-0.789033171985325	0.0629437158881648	0.462256074982692
YPL249C-A	0.308809484027091	0.0629846235253452	0.462256074982692
YCR024C-B	-0.345887130194783	0.0631347370819592	0.462256074982692
YKL207W	0.540362009162239	0.0633915131081099	0.462782261229716
YOR354C	0.824368991576457	0.0636777797047828	0.462782261229716
YPL118W	-0.659310098354304	0.0640068337523366	0.462782261229716
YDL082W	-0.313283636185551	0.064028687248491	0.462782261229716
YCR052W	0.823476642280262	0.0641226411046717	0.462782261229716
YDL153C	0.480236644539539	0.0652261543993872	0.468179716226806
YKL175W	-0.790106556427002	0.0652411956103862	0.468179716226806
YMR146C	-0.380597882859803	0.065449965515366	0.46834734530259
YOR182C	0.628706897129281	0.065761460571157	0.469247032211137
YOR150W	1.08200728128743	0.0663913006212782	0.471124019651751
YBR088C	-0.542455840455111	0.0663975261266917	0.471124019651751
RME2	-1.09757278874121	0.0671202555970432	0.473936606296948
YBR048W	-0.259363207334432	0.067440341997882	0.473936606296948
YDR245W	0.510690245042448	0.0676027187943139	0.473936606296948
YDR517W	-0.61580720462451	0.0676342484548587	0.473936606296948
YMR302C	-0.765064910070569	0.0677320328080753	0.473936606296948
YJR119C	1.35875564918699	0.0683689311632481	0.477071602536919
YNL055C	-0.407217593614328	0.068940191499381	0.479732572251891
YFL038C	0.295778412833823	0.0695375327502893	0.482559911338546
YBR189W	-0.203102281240715	0.0703936812704247	0.485052549334204
YLR061W	-0.260056220001435	0.0704249096763112	0.485052549334204
YNL118C	0.600779421365263	0.0704727971518816	0.485052549334204
YJL031C	0.842523184687796	0.0708656382603483	0.486430984363152
YLR150W	-0.215497902519603	0.071370136416447	0.488566299696328
YNL138W	-0.507811753014919	0.0715919963773189	0.488760494186777
YBR249C	-0.447510784617486	0.072569219839381	0.494096628879451
YCL043C	-0.231970444080997	0.0727799724677132	0.494199490466246
YMR288W	0.983989190505154	0.0734961693091762	0.497437701762466
YPL270W	-0.682085397918879	0.073747530328586	0.497437701762466
YPR117W	0.765336736310725	0.0738476398103423	0.497437701762466
YGR282C	-0.262039851387911	0.0742390003794219	0.498743922761755
YDR207C	0.980256635003873	0.0744672231532609	0.498950147705934
YOL052C	0.985162982488114	0.0746843752964582	0.499081301584268
YDL150W	1.13771907317117	0.0750384857809459	0.499503253902506
YDR234W	0.58808352737893	0.0756403270405217	0.499503253902506
YKL156W	0.521516740906334	0.0756576539453736	0.499503253902506
YFR032C-A	0.513617685471576	0.0756599090705308	0.499503253902506
YEL055C	0.472563861286757	0.0758529325718251	0.499503253902506
YBR273C	-0.657469432039267	0.0759339863414736	0.499503253902506
YPL188W	0.867137379666668	0.0763203782176896	0.499674862574486
YMR039C	0.685407384058656	0.0766340965727411	0.499674862574486
YDL213C	-0.804061459640533	0.077169885012167	0.499674862574486
YOR074C	-0.816027871998028	0.077794797183633	0.499674862574486
YJL174W	0.750511659331845	0.0778362459766518	0.499674862574486
YNL007C	-0.59683709817973	0.0779588743736169	0.499674862574486
YML091C	0.782870332775562	0.07844852307357	0.499674862574486
YGR261C	-0.554815929484038	0.0785258017433293	0.499674862574486
YDL066W	-0.40408950168968	0.0785560114484502	0.499674862574486
YKL005C	0.680102658704191	0.078725788847309	0.499674862574486
YFR002W	0.498498807700977	0.0787464548721229	0.499674862574486
YIL038C	-0.545654439897005	0.0787522790710983	0.499674862574486
YBR041W	-0.598513118891429	0.0791084637092334	0.499674862574486
YLL048C	-0.402863196592004	0.0791383859159815	0.499674862574486
YBR195C	0.763107145354402	0.0792112241103748	0.499674862574486
YDL006W	0.990048322360342	0.0793870543494125	0.499674862574486
YKL180W	-0.252651207651277	0.0799516316724319	0.499674862574486
YGL203C	0.626642573475451	0.0800963689856192	0.499674862574486
YKL033W	0.694968569593603	0.0801703333372136	0.499674862574486
YKL047W	-0.955370226209366	0.0802339216019437	0.499674862574486
YER165W	-0.253896797067662	0.0804492377889461	0.499674862574486
YNR021W	0.350357683874824	0.0807062744755962	0.499674862574486
YGR244C	0.687091654960728	0.0807119047664863	0.499674862574486
YLR342W	-0.233881476945977	0.0807615029539949	0.499674862574486
YBL092W	0.242832779747847	0.080905391446146	0.499674862574486
YDL215C	0.579159251860017	0.0821382699707942	0.50573183855006
YKL181W	-0.271852945952926	0.08252295434159	0.50573183855006
YER086W	-0.404907918358387	0.0826575567207944	0.50573183855006
YKL020C	0.779250136549129	0.0826869553923891	0.50573183855006
YDR151C	1.21632825438187	0.0836957652145776	0.510665466019379
YKL094W	0.578276875012537	0.0840993149364809	0.511891251878435
YPL179W	0.901932713051517	0.085325521587527	0.518106412331955
YDR047W	-0.724856599603554	0.0860772746817454	0.52141773584194
snR45	-0.559961755683466	0.0872533379627943	0.526662253974329
YGL241W	0.699776216963	0.0873600492538573	0.526662253974329
snR39	-0.705902194035304	0.0883653617821012	0.53145453300378
YER063W	0.633332605297521	0.0886699718118103	0.532019830870862
YKL002W	0.905110504151926	0.0890363618888861	0.532952251496034
YDL072C	-0.517145440873588	0.0894473689525673	0.533608597321852
YMR079W	-0.734840067732518	0.0895685056470567	0.533608597321852
YMR216C	0.625917871583586	0.0902285093022337	0.534731601452422
YPL206C	-0.6082486138284	0.0902692120892237	0.534731601452422
YOR172W	-0.854951253819619	0.0903920798971433	0.534731601452422
YKL079W	0.803632150102134	0.0907202070109793	0.535418791845172
YOR021C	0.395382863846566	0.091207298469136	0.536184471109215
YJR121W	-0.278709098807496	0.0912744744960263	0.536184471109215
YHR005C-A	0.597240755827414	0.0924619305708173	0.541899852951008
YNL044W	0.600767475035276	0.0927111921660122	0.542023405867516
YOL088C	0.51571807012766	0.0931056025879714	0.542023405867516
YPR175W	1.29187943786384	0.0931267451094624	0.542023405867516
YOL013C	-0.744481485310855	0.0943045034928009	0.547616496144402
YLR173W	1.08410614967282	0.0945502433021405	0.547784207755062
YLR179C	0.493077938743633	0.0949288556238685	0.547808338613803
YPR189W	-0.541117441671447	0.0949881442251963	0.547808338613803
YBL030C	-0.308104836243539	0.0955807763426528	0.54997048073244
YDR217C	0.723141166728756	0.0964205049730685	0.551656450978338
