group	names	scores	logfoldchanges	pvals	pvals_adj
11	MYT1L	18.83674	4.1726027	3.7750431146828477e-79	3.734333865959646e-76
11	PCSK6	18.7848	5.063776	1.0056537554340026e-78	9.686298184905244e-76
11	SESTD1	18.778326	4.0720305	1.1360509609084608e-78	1.0661692620566813e-75
11	VAT1L	18.761494	4.6482015	1.559545791314715e-78	1.4270233876977473e-75
11	NEBL	18.731714	3.7962282	2.729802404389733e-78	2.4369145805626493e-75
11	NTRK2	18.674421	4.0701904	7.995091322678553e-78	6.967341369079946e-75
11	SLC2A13	18.622969	5.605867	2.0928479133391556e-77	1.781402941305266e-74
11	SH3GL3	18.594624	5.2632856	3.5519926386400364e-77	2.9546927856105447e-74
11	PVALB	18.561281	3.9748125	6.611009176210623e-77	5.3771010412996665e-74
11	DACH1	18.532894	3.9407666	1.1209349521549008e-76	8.91898699648294e-74
11	CDK14	18.493908	3.7193055	2.3117395131410355e-76	1.8002548493718095e-73
11	ZDHHC14	18.455069	4.2967653	4.747554144021543e-76	3.620108942194427e-73
11	CACNG3	18.384144	5.9714794	1.7599503349564638e-75	1.3146110655049294e-72
11	KCNH7	18.348007	4.778943	3.4244946179956456e-75	2.5067985502651724e-72
11	ARHGAP24	18.334831	4.799082	4.363688061990273e-75	3.1316734658216855e-72
12	RBPMS	24.304714	7.9839582	1.7477713023811738e-130	3.5692769477252957e-126
12	MIAT	24.300209	7.90345	1.950371272765933e-130	3.5692769477252957e-126
12	NEFL	24.111696	6.674402	1.8846338193612576e-128	2.2993160807480463e-124
12	KCNC2	23.923119	7.7751217	1.76038397936469e-126	1.6107953507181755e-122
12	NEFM	23.897432	6.8572707	3.256893333184422e-126	2.384111057757661e-122
12	EBF1	23.867382	7.4295664	6.683979031487599e-126	4.07733860885796e-122
12	MEG3	23.589031	5.605878	4.994785326448634e-123	2.611630539047806e-119
12	SCN1A-AS1	23.49572	5.91922	4.5110843560172155e-122	2.063877481432326e-118
12	SYN3	23.464746	6.4507236	9.347600893942228e-122	3.7658527121113977e-118
12	MEG8	23.460665	5.7226353	1.0288933941999938e-121	3.7658527121113977e-118
12	AHNAK2	23.37087	7.5033355	8.456237765645554e-121	2.8136978041853902e-117
12	HS6ST3	23.357462	7.6707315	1.1573730554146774e-120	3.530084266769384e-117
12	PLCB1	23.335001	5.795871	1.957204547540572e-120	5.510434126502498e-117
12	TMEM163	23.306839	7.2841177	3.779074097598874e-120	9.879849360444028e-117
12	LRFN5	23.270155	5.9134398	8.893911750160977e-120	2.1701737597842795e-116
12	EPHA6	23.214548	6.1109886	3.246585411475743e-119	7.42676704033898e-116
12	STMN2	23.185625	5.690175	6.358755297510766e-119	1.369040015554068e-115
12	PRUNE2	23.12955	5.0102625	2.3354287826868696e-118	4.748834937506784e-115
12	AL355612.1	23.111628	6.1266546	3.537370033706595e-118	6.814277926510268e-115
12	EPHA5	23.07236	5.85327	8.774535930061519e-118	1.6057839478809085e-114
12	RBFOX1	23.059473	6.6200647	1.181835063762584e-117	2.0598259604178255e-114
12	TENM4	23.02521	5.288046	2.6066157923008834e-117	4.3365793006365744e-114
12	UCHL1	22.986431	5.5567737	6.371819472964157e-117	1.013978106652005e-113
12	GALNTL6	22.834688	6.458311	2.074652857327665e-115	3.1639320512937444e-112
12	SLC4A4	22.722292	7.4278216	2.697614942679463e-114	3.949416180680441e-111
12	SCN1A	22.702652	5.346509	4.217697036552178e-114	5.937381893647933e-111
12	AC120193.1	22.696323	9.395767	4.870710812398501e-114	6.602699497948057e-111
12	RIT2	22.69386	7.863305	5.151451175986962e-114	6.733866589010672e-111
12	PLA2R1	22.67372	5.3658133	8.141607549244749e-114	1.0275550962410589e-110
12	LRP1B	22.611511	5.2908907	3.339050339971766e-113	4.073752716443554e-110
12	ADCY8	22.568087	5.515348	8.922593777553041e-113	1.0534704995232866e-109
12	ATP1B1	22.550303	5.0231314	1.3336987034681946e-112	1.525459570176231e-109
12	SV2C	22.428991	7.0388002	2.0523327002456302e-111	2.2762857321724337e-108
12	NRXN1	22.424444	5.163171	2.2732157557810466e-111	2.4471167610982965e-108
12	RALYL	22.408766	5.456773	3.2326835905338985e-111	3.380555774203749e-108
12	SGCZ	22.406183	7.6621766	3.42576571010563e-111	3.482956965432671e-108
12	LSS	22.377283	5.1314735	6.551750039779439e-111	6.481097383945061e-108
12	DSCAM	22.331804	6.1288705	1.814502665607627e-110	1.7477003174711777e-107
12	PRKG1	22.272951	5.61861	6.75987608311167e-110	6.344057038922314e-107
12	CDH18	22.250423	5.6818547	1.1173078202030805e-109	1.0223645881813238e-106
12	PTCHD4	22.204458	6.4523826	3.110235535981588e-109	2.776530020791759e-106
12	ANK1	22.201527	5.0599422	3.319826855900289e-109	2.8930710179239637e-106
12	PPP2R2C	22.197695	4.9169965	3.6152506386982834e-109	3.0772508983022297e-106
12	CLEC2L	22.155148	6.7523494	9.305490067520447e-109	7.740687317302634e-106
